Category,Data_Alpha_Carotene,Data_Beta_Carotene,Data_Beta_Cryptoxanthin,Data_Carbohydrate,Data_Cholesterol,Data_Choline,Data_Fiber,Data_Lutein_and_Zeaxanthin,Data_Lycopene,Data_Niacin,Data_Protein,Data_Retinol,Data_Riboflavin,Data_Selenium,Data_Sugar_Total,Data_Thiamin,Data_Water,Data_Fat_Monosaturated_Fat,Data_Fat_Polysaturated_Fat,Data_Fat_Saturated_Fat,Data_Fat_Total_Lipid,Data_Major_Minerals_Calcium,Data_Major_Minerals_Copper,Data_Major_Minerals_Iron,Data_Major_Minerals_Magnesium,Data_Major_Minerals_Phosphorus,Data_Major_Minerals_Potassium,Data_Major_Minerals_Sodium,Data_Major_Minerals_Zinc,Data_Vitamins_Vitamin_A___RAE,Data_Vitamins_Vitamin_B12,Data_Vitamins_Vitamin_B6,Data_Vitamins_Vitamin_C,Data_Vitamins_Vitamin_E,Data_Vitamins_Vitamin_K
100 GRAND Bar,0.0,3.0,0.0,70.97,12.0,24.6,1.0,2.0,0.0,0.198,2.5,37.0,0.119,2.5,51.9,0.058,6.1,6.039,1.388,11.9,19.33,76.0,0.185,0.34,25.0,86.0,163.0,203.0,0.99,38.0,0.29,0.016,0.7,0.42,6.2
3 MUSKETEERS Bar,0.0,0.0,0.0,77.77,5.0,12.2,1.5,1.0,0.0,0.23,2.6,20.0,0.056,1.9,66.89,0.034,5.8,2.373,0.316,8.646,12.75,54.0,0.155,0.67,29.0,69.0,133.0,194.0,0.55,20.0,0.16,0.015,0.2,0.98,2.9
3 Musketeers Truffle Crisp Bar,0.0,0.0,0.0,63.15,18.0,36.6,0.0,5.0,0.0,0.306,6.41,46.0,0.239,3.6,57.69,0.089,0.18,5.536,1.091,19.23,28.85,150.0,0.391,1.88,50.0,165.0,296.0,63.0,1.83,46.0,0.6,0.028,0.0,0.6,5.8
Abalone,0.0,0.0,0.3333333333333333,11.586666666666666,127.0,96.9,0.1999999999999999,16.333333333333332,0.0,2.186666666666667,24.22333333333333,7.666666666666667,0.154,62.93333333333334,0.3133333333333333,0.2726666666666666,55.31666666666666,2.0863333333333336,2.044666666666666,0.94,5.826666666666667,52.66666666666666,0.261,4.406666666666666,67.66666666666667,240.66666666666663,336.6666666666667,737.6666666666666,1.2233333333333334,7.666666666666667,0.9466666666666668,0.1966666666666666,2.466666666666667,5.956666666666667,36.5
Adobo,0.0,0.0,0.0,8.52,73.5,58.150000000000006,0.3,0.0,0.0,3.324,17.285,4.0,0.2085,23.9,0.03,0.217,64.285,3.5380000000000003,0.9975,2.5295,7.800000000000001,16.5,0.0905,1.165,19.5,155.0,208.0,516.0,2.465,4.0,0.435,0.2329999999999999,0.1,0.205,0.0
Agave liquid sweetener,0.0,94.0,0.0,76.37,0.0,13.3,0.2,0.0,0.0,0.689,0.09,0.0,0.165,1.7,68.03,0.122,22.94,0.0,0.0,0.0,0.45,1.0,0.009,0.09,1.0,1.0,4.0,4.0,0.01,8.0,0.0,0.234,17.0,0.98,22.5
Air filled fritter or fried puff,0.0,117.0,3.0,50.21,126.0,89.0,0.6,173.0,0.0,1.152,6.46,201.0,0.254,17.8,33.95,0.138,17.67,10.698,7.347,4.652,23.75,25.0,0.061,1.61,10.0,91.0,73.0,587.0,0.59,211.0,0.28,0.065,0.0,2.65,23.6
Alcoholic malt beverage,0.0,0.0,0.0,6.4,0.0,6.133333333333333,0.0,0.6666666666666666,0.0,0.5083333333333334,0.3,0.0,0.0363333333333333,0.3999999999999999,6.123333333333332,0.0139999999999999,86.72666666666667,0.0,0.0,0.0,0.0,5.333333333333333,0.0086666666666666,0.03,6.666666666666667,15.333333333333334,37.66666666666666,4.666666666666667,0.01,0.0,0.0133333333333333,0.0436666666666666,1.7666666666666666,0.0133333333333333,0.0
Alexander,0.0,7.0,0.0,18.94,11.0,6.3,0.0,0.0,0.0,0.093,1.05,31.0,0.068,1.2,15.7,0.013,57.77,1.082,0.218,2.313,3.83,35.0,0.024,0.05,4.0,34.0,55.0,23.0,0.15,31.0,0.06,0.016,0.3,0.08,0.4
Alfalfa sprouts,6.0,87.0,6.0,2.1,0.0,14.4,1.9,0.0,0.0,0.481,3.99,0.0,0.126,0.6,0.2,0.076,92.82,0.056,0.409,0.069,0.69,32.0,0.157,0.96,27.0,70.0,79.0,6.0,0.92,8.0,0.0,0.034,8.2,0.02,30.5
Alfredo sauce,0.0,27.0,0.0,1.48,46.0,6.4,0.0,0.0,0.0,0.025,2.37,157.0,0.075,2.7,0.88,0.008,79.26,3.8,0.64,9.518,15.12,67.0,0.011,0.05,5.0,50.0,39.0,558.0,0.3,159.0,0.12,0.015,0.2,0.38,1.3
Alfredo sauce with added vegetables,2.0,114.0,22.0,2.32,35.0,7.8,0.3,121.0,0.0,0.436,2.28,120.0,0.103,3.0,1.43,0.021,82.25,2.908,0.524,7.295,11.64,54.0,0.048,0.16,7.0,51.0,97.0,428.0,0.32,131.0,0.1,0.053,10.1,0.4,2.0
Alfredo sauce with meat,0.0,22.0,0.0,1.2,54.0,20.3,0.0,0.0,0.0,0.971,6.72,128.0,0.094,6.2,0.72,0.015,74.96,4.493,0.613,8.943,15.44,59.0,0.024,0.51,7.0,77.0,88.0,528.0,1.41,130.0,0.6,0.08,0.1,0.33,1.4
Alfredo sauce with meat and added vegetables,2.0,93.0,18.0,1.88,45.0,21.4,0.3,98.0,0.0,1.305,6.64,98.0,0.116,6.4,1.16,0.026,77.39,3.768,0.519,7.137,12.61,49.0,0.054,0.59,9.0,78.0,135.0,422.0,1.42,107.0,0.58,0.111,8.2,0.35,1.9
Alfredo sauce with poultry,0.0,22.0,0.0,1.2,54.0,18.1,0.0,0.0,0.0,1.735,7.1,130.0,0.093,7.2,0.72,0.021,76.53,3.544,0.837,8.062,13.59,59.0,0.027,0.23,9.0,87.0,85.0,522.0,0.61,132.0,0.25,0.1,0.1,0.35,1.1
